	Turbidez	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129
ua11	3	40	40	120	100	120	100	20	10	0	10	0	40	0	0	0	0	10	2	0	0	1	0	0	0	10	0	20	0	80	30	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua12	1	30	6	20	10	3	20	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua13	5	50	20	0	0	0	10	10	110	0	0	0	4	3	0	0	0	4	0	5	0	0	0	2	2	0	1	0	0	0	40	0	50	50	55	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ua14	3	730	660	30	40	3	10	1	10	10	50	330	0	1	0	0	130	10	10	0	0	1	0	0	1	2	10	1	0	0	0	0	0	0	0	130	0	2	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	40	0	0	0	0	2	0	0	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ua15	1	280	220	10	150	150	10	20	4	1	20	1	1	0	0	0	10	0	1	40	1	0	0	10	0	4	10	10	10	0	0	0	1	0	0	0	0	10	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua16	3	440	250	10	160	10	70	90	60	100	20	1	20	70	0	20	0	30	0	40	110	0	0	10	0	60	10	50	40	0	0	30	20	0	0	0	0	0	40	1	10	0	0	20	0	10	0	10	10	0	80	0	0	0	0	10	0	0	0	0	0	40	0	30	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ua17	1	440	320	10	720	160	40	0	0	120	4	40	0	0	0	1	1	0	40	0	0	0	0	0	80	0	0	1	80	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua18	5	60	10	20	10	30	40	30	10	0	30	6	20	10	30	0	2	10	0	10	20	1	0	1	0	10	1	1	0	0	30	1	1	20	63	0	0	3	1	30	2	1	0	0	0	0	0	0	1	0	0	10	0	0	0	3	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua19	4	3880	6120	2240	80	200	360	160	160	320	160	240	0	1	0	80	240	2	5	40	0	0	0	1	120	0	40	40	0	0	1	1	0	0	3	1	120	0	1	2	1	40	2	0	3	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ua20	2	630	470	310	1230	330	100	130	110	10	40	10	30	30	1	10	1	1	0	40	0	0	3	100	0	0	70	2	0	1	0	5	1	0	0	0	0	20	0	10	1	10	0	1	10	80	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua21	0	15	4	1	80	1	4	1	80	2	2	0	9	1	0	0	0	40	0	0	0	1	22	40	0	1	0	1	40	0	4	0	1	0	0	0	0	0	0	1	0	40	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ua22	2	640	420	20	10	10	30	20	10	10	10	0	0	0	0	3	0	10	0	40	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua23	1	560	260	10	40	70	20	250	2	40	220	10	0	0	0	10	0	1	0	20	20	0	0	2	0	30	20	10	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10	10	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua24	0	60	70	20	30	20	40	50	40	0	10	1	10	20	0	20	10	20	10	2	20	0	56	0	0	10	10	10	0	0	1	0	0	0	0	0	0	0	10	1	20	0	0	0	0	0	10	0	0	1	0	10	0	1	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua25	5	220	160	20	10	10	40	10	90	20	0	0	150	160	10	10	0	30	0	0	10	140	0	0	0	1	0	10	0	0	10	20	70	5	4	0	0	0	40	0	30	10	10	70	10	0	0	0	10	0	0	10	0	20	0	20	30	0	40	0	0	0	3	10	2	0	10	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ua26	2	80	60	10	60	0	20	40	50	40	0	0	10	50	1	1	0	0	0	2	3	1	0	10	0	0	0	0	0	0	0	0	10	0	0	0	10	0	20	0	0	0	0	0	1	0	0	1	0	0	0	10	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua27	5	120	80	20	2	10	120	0	100	10	0	0	110	40	30	20	0	40	0	0	20	50	0	0	0	20	10	0	0	0	20	40	0	3	5	0	0	0	10	0	10	0	0	10	10	0	0	0	10	0	0	10	20	30	10	30	20	0	0	0	60	0	0	1	0	30	20	0	0	1	0	10	0	0	0	0	20	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua28	2	60	50	10	30	20	40	10	60	0	0	10	20	30	20	10	0	40	0	0	20	1	1	2	0	3	0	2	0	0	0	3	0	0	1	0	0	0	0	5	0	0	0	10	0	10	10	0	10	1	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua29	0	3320	2280	120	40	200	80	120	3	160	160	2	80	1	1	120	0	120	3	40	3	0	40	40	0	1	0	0	0	40	0	0	0	0	0	0	0	40	1	0	0	0	40	0	0	0	80	0	0	40	0	2	0	0	0	1	0	40	0	0	0	0	0	0	0	4	0	40	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua30	5	70	20	10	10	10	20	30	20	2	1	0	10	2	1	40	0	0	0	10	0	1	0	0	1	0	3	10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	10	0	10	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua31	2	70	10	10	10	10	20	10	20	0	30	1	10	3	10	10	0	1	0	30	10	1	1	0	0	20	1	1	0	0	0	0	0	0	1	0	0	20	0	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	1	0	0	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ua32	1	70	10	2	10	0	40	10	90	20	0	0	50	40	310	10	0	0	0	0	10	50	0	1	0	30	0	1	0	0	0	60	0	1	0	0	0	2	1	20	0	0	0	0	10	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
