	ESP	TAM	FRU	OMN	INS	NRG	NSP	SSH	SSM	SSL	FLO	CAM	FSE	BOR	AGR	SUP	M_S	MED	I_M	INF	T_I	TER
TY48	203	0.342857143	0	0	1	0.054054054	0.06779661	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
TY49	207	0.285714286	0	0	1	0.040540541	0.050847458	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TY50	208	0.4	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TY51	211	0.371428571	0	0	1	0.243243243	0.305084746	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
TY52	212	0.342857143	0	0	1	0.040540541	0.050847458	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
TU1	1	0.6	0	1	0	0.166666667	0.171875	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
TU2	2	0.3	0	1	0	0.242424242	0.25	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
TU3	3	0.3	0	1	0	0.984848485	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
TU4	6	0.5	0	1	0	0.287878788	0.1875	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
TU5	7	1	0	1	0	1	0.90625	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
TU6	9	0.7	0	1	0	0.53030303	0.5	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
TU7	11	0.9	0	0	1	0.015151515	0.015625	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
TU8	13	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
TU9	14	0.7	0	1	0	0.590909091	0.546875	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
TU10	16	0.6	0	1	0	0.151515152	0.15625	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
TU11	17	0.7	0	1	0	0.257575758	0.234375	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
