LEAF,DISC,CACONC,,CACONC2,DISC2,LEAF2,PLANT2,,SIRE,DAM,WGAIN,,MALE,FEMALE,MELANIC,WATTLE,,TREATMNT,PLANT,DENSITY,,DURATION,NLOOKUPS,SEX,SHEEP,OBSPER
,,,,,,,,,,,,,3,3,2,0.437,,2,4,93.4,,36,9,1,2,13
,,,,,,,,,,,,,4,3,2,0.529,,2,4,85.1,,41,10,1,2,14
,,,,,,,,,,,,,5,3,2,0.517,,2,4,62,,48,10,1,2,15
,,,,,,,,,,,,,6,3,2,0.571,,2,4,95.6,,41,10,1,2,16
,,,,,,,,,,,,,,,,,,2,4,104.6,,44,10,1,2,17
,,,,,,,,,,,,,,,,,,2,4,86.1,,41,10,1,2,18
,,,,,,,,,,,,,,,,,,2,4,80.5,,39,10,1,2,19
,,,,,,,,,,,,,,,,,,2,4,68.1,,38,12,1,2,20
,,,,,,,,,,,,,,,,,,2,5,139.5,,41,6,1,3,1
,,,,,,,,,,,,,,,,,,2,5,147.5,,48,9,1,3,2
,,,,,,,,,,,,,,,,,,2,5,125,,43,6,1,3,3
,,,,,,,,,,,,,,,,,,2,5,103,,44,7,1,3,4
,,,,,,,,,,,,,,,,,,2,5,128.1,,38,10,1,3,5
,,,,,,,,,,,,,,,,,,2,5,104.6,,45,7,1,3,6
,,,,,,,,,,,,,,,,,,2,5,106.5,,49,5,1,3,7
,,,,,,,,,,,,,,,,,,2,5,126.4,,44,9,1,3,8
,,,,,,,,,,,,,,,,,,2,5,118.9,,49,7,1,3,9
,,,,,,,,,,,,,,,,,,2,5,86.8,,37,7,1,3,10
,,,,,,,,,,,,,,,,,,2,6,134.4,,38,6,1,3,11
,,,,,,,,,,,,,,,,,,2,6,151.8,,53,7,1,3,12
,,,,,,,,,,,,,,,,,,2,6,104,,42,7,1,3,13
,,,,,,,,,,,,,,,,,,2,6,120,,53,7,1,3,14
,,,,,,,,,,,,,,,,,,2,6,119.5,,45,8,1,3,15
,,,,,,,,,,,,,,,,,,2,6,62.4,,42,9,1,3,16
,,,,,,,,,,,,,,,,,,2,6,142.7,,44,6,1,3,17
,,,,,,,,,,,,,,,,,,2,6,117.6,,42,7,1,3,18
,,,,,,,,,,,,,,,,,,2,6,156.1,,46,5,1,3,19
,,,,,,,,,,,,,,,,,,2,6,138.6,,41,11,1,3,20
,,,,,,,,,,,,,,,,,,,,,,41,6,2,1,1
,,,,,,,,,,,,,,,,,,,,,,48,7,2,1,2
,,,,,,,,,,,,,,,,,,,,,,47,4,2,1,3
,,,,,,,,,,,,,,,,,,,,,,40,8,2,1,4
,,,,,,,,,,,,,,,,,,,,,,30,9,2,1,5
,,,,,,,,,,,,,,,,,,,,,,34,6,2,1,6
,,,,,,,,,,,,,,,,,,,,,,34,7,2,1,7
,,,,,,,,,,,,,,,,,,,,,,40,6,2,1,8
,,,,,,,,,,,,,,,,,,,,,,34,6,2,1,9
,,,,,,,,,,,,,,,,,,,,,,40,7,2,1,10
,,,,,,,,,,,,,,,,,,,,,,34,7,2,1,11
,,,,,,,,,,,,,,,,,,,,,,43,5,2,1,12
,,,,,,,,,,,,,,,,,,,,,,39,9,2,1,13
,,,,,,,,,,,,,,,,,,,,,,44,7,2,1,14
,,,,,,,,,,,,,,,,,,,,,,40,10,2,1,15
,,,,,,,,,,,,,,,,,,,,,,37,11,2,1,16
,,,,,,,,,,,,,,,,,,,,,,39,6,2,1,17
,,,,,,,,,,,,,,,,,,,,,,32,7,2,1,18
,,,,,,,,,,,,,,,,,,,,,,32,7,2,1,19
,,,,,,,,,,,,,,,,,,,,,,35,10,2,1,20
,,,,,,,,,,,,,,,,,,,,,,33,7,2,2,1
,,,,,,,,,,,,,,,,,,,,,,39,10,2,2,2
,,,,,,,,,,,,,,,,,,,,,,40,7,2,2,3
,,,,,,,,,,,,,,,,,,,,,,29,7,2,2,4
,,,,,,,,,,,,,,,,,,,,,,27,8,2,2,5
,,,,,,,,,,,,,,,,,,,,,,30,5,2,2,6
,,,,,,,,,,,,,,,,,,,,,,32,4,2,2,7
,,,,,,,,,,,,,,,,,,,,,,40,7,2,2,8
,,,,,,,,,,,,,,,,,,,,,,36,6,2,2,9
,,,,,,,,,,,,,,,,,,,,,,35,9,2,2,10
,,,,,,,,,,,,,,,,,,,,,,33,7,2,2,11
,,,,,,,,,,,,,,,,,,,,,,35,6,2,2,12
,,,,,,,,,,,,,,,,,,,,,,31,9,2,2,13
,,,,,,,,,,,,,,,,,,,,,,35,6,2,2,14
,,,,,,,,,,,,,,,,,,,,,,46,10,2,2,15
,,,,,,,,,,,,,,,,,,,,,,35,11,2,2,16
,,,,,,,,,,,,,,,,,,,,,,37,6,2,2,17
,,,,,,,,,,,,,,,,,,,,,,33,9,2,2,18
,,,,,,,,,,,,,,,,,,,,,,35,8,2,2,19
,,,,,,,,,,,,,,,,,,,,,,35,8,2,2,20
,,,,,,,,,,,,,,,,,,,,,,36,9,2,3,1
,,,,,,,,,,,,,,,,,,,,,,40,10,2,3,2
,,,,,,,,,,,,,,,,,,,,,,33,9,2,3,3
,,,,,,,,,,,,,,,,,,,,,,33,11,2,3,4
,,,,,,,,,,,,,,,,,,,,,,30,12,2,3,5
,,,,,,,,,,,,,,,,,,,,,,29,11,2,3,6
,,,,,,,,,,,,,,,,,,,,,,34,7,2,3,7
,,,,,,,,,,,,,,,,,,,,,,30,11,2,3,8
,,,,,,,,,,,,,,,,,,,,,,35,9,2,3,9
,,,,,,,,,,,,,,,,,,,,,,29,12,2,3,10
,,,,,,,,,,,,,,,,,,,,,,37,12,2,3,11
,,,,,,,,,,,,,,,,,,,,,,40,8,2,3,12
,,,,,,,,,,,,,,,,,,,,,,30,13,2,3,13
,,,,,,,,,,,,,,,,,,,,,,37,11,2,3,14
,,,,,,,,,,,,,,,,,,,,,,39,14,2,3,15
,,,,,,,,,,,,,,,,,,,,,,31,11,2,3,16
,,,,,,,,,,,,,,,,,,,,,,38,11,2,3,17
,,,,,,,,,,,,,,,,,,,,,,35,12,2,3,18
,,,,,,,,,,,,,,,,,,,,,,33,11,2,3,19
,,,,,,,,,,,,,,,,,,,,,,28,11,2,3,20
